index,Y house price of unit area
0,34.29412843922487
1,40.56050194678543
2,31.485861704022398
3,24.027009687359893
4,30.99245365645322
5,28.314409293468486
6,16.39885665850072
7,37.25140096178303
8,36.43631375286858
9,40.154446311255874
10,45.92576191636548
11,44.69083947313913
12,34.43684025734076
13,61.60089309897505
14,50.27150599277412
15,38.14165362629619
16,44.32307033322978
17,18.650698729600034
18,25.883797976697714
19,53.9091703141779
20,38.887185839821825
21,31.27394103929275
22,25.372451086312598
23,47.68096111922973
24,21.808354753401254
25,42.00447729402431
26,28.312088745244274
27,50.07719565755643
28,39.59488737219622
29,47.5791215693349
30,27.68278351651957
31,38.11249552740745
32,20.374978676274377
33,21.8835830965064
34,12.237452575615453
35,48.290476043636154
36,43.265535132328345
37,42.02859671047164
38,32.154806448832026
39,26.84317885914347
40,43.074912371694396
41,19.255640756941848
42,50.034337916270225
43,40.419120284509155
44,54.612459506486886
45,27.307220533863024
46,49.42972808336966
47,44.82016279235746
48,33.728298419054035
49,43.613212183346114
50,39.43252556161901
51,43.01838137554081
52,28.97788593206174
53,19.17900007084467
54,41.52426013175179
55,33.523869780083615
56,49.96048021952582
57,18.633076052221284
58,31.066027870206963
59,32.254131439944906
60,61.60089309897505
61,58.41800073239301
62,27.71023387359852
63,23.45074009962044
64,37.78016765449515
65,55.145112446181614
66,41.420631822295654
67,17.27445214293366
68,32.73547978115113
69,34.548932111460026
70,56.98084899636589
71,51.23321273315436
72,33.662281876574454
73,46.35499357567182
74,23.850829332304862
75,39.85335211339841
76,53.428422353014575
77,41.37481103152126
78,39.467927524583395
79,49.39255491862357
80,54.36602753175167
81,33.94363964906284
82,57.37584303026179
